Taxon,FAD,LAD
Onychoselache,346.7,330.9
Tribodus,125,100.5
Egertonodus,145,100.5
Hamiltonichthys,323.6,298.75
Squalus,318,251
Synechodus,100.5,66
Acronemus,247.2,237
Tristychius,330.9,323.2
Homalodontus,252.17,251.2
Orthacanthus,298.9,295
Triodus,298.9,290.1
Diplodoselache,346.7,330.9
Tamiobatis,372.2,358.9
Cladodoides,382.7,372.2
Damocles,330.9,323.2
Akmonistion,330.9,323.2
Falcatus,330.9,323.2
Cobelodus,323.2,315.2
Cladoselache,372.2,358.9
Dwykaselachus,290.1,272.3
Ozarcus,333,318.1
Chimaeroidei,190,161
Chondrenchelys,346.7,330.9
Debeerius,330.9,323.2
Iniopera,305,299
Kawichthys,305,299
Helodus,315.2,307
Doliodus,407.6,393.3
Lupopsyrus,419.2,410.8
Obtusacanthus,419.2,410.8
Kathemacanthus,419.2,410.8
Pucapampella,393.3,387.7
Gyracanthides,358.9,346.7
Latviacanthus,410.8,407.6
Brochoadmones,419.2,410.8
Ptomacanthus,419.2,410.8
Climatius,419.2,410.8
Brachyacanthus,419.2,410.8
Parexus,419.2,410.8
V_waynensis,419.2,410.8
Gladbachus,387.7,382.7
Acanthodes,298.9,290.1
Homalacanthus,382.7,372.2
Halimacanthodes,382.7,372.2
Cheiracanthus,393.3,387.7
Mesacanthus,419.2,410.8
Promesacanthus,419.2,410.8
Cassidiceps,419.2,410.8
Diplacanthus,393.3,387.7
Rhadinacanthus,393.3,387.7
Uraniacanthus,419.2,410.8
Tetanopsyrus,419.2,410.8
Ischnacanthus,419.2,410.8
Nerepisacanthus,423,419.2
Poracanthodes,419.2,410.8
Culmacanthus,382.7,372.2
Mimipiscis,382.7,372.2
Raynerius,382.7,372.2
Moythomasia,382.7,372.2
Cheirolepis,387.7,382.7
Guiyu,425.6,423
Psarolepis,419.2,410.8
Youngolepis,419.2,410.8
Meemannia,419.2,410.8
Ligulalepis,407.6,393.3
Janusiscus,419.2,410.8
Entelognathus,427.4,423
Qilinyu,427.4,423
Ramirosuarezia,393.3,387.7
Cowralepis,387.7,382.7
Buchanosteus,407.6,393.3
Coccosteus,393.3,387.7
Dicksonosteus,410.8,407.6
Gemuendina,408,398
Jagorina,382.7,372.2
Austroptyctodus,382.7,372.2
Rhamphodopsis,393.3,387.7
Campbellodus,382.7,372.2
Macropetalichthys,407.6,393.3
Romundina,419.2,410.8
Brindabellaspis,410.8,407.6
Bothriolepis,387.7,358.9
Pterichthyodes,393.3,387.7
Parayunnanolepis,419.2,410.8
Osteostraci,433.4,427.4
Galeaspida,433.4,427.4
