Galeaspida,0,0,0,1,0,-,0,-,?,?,0,0,1,0,?,?,?,-,?,-,0,0,-,3,1,0,-,-,-,-,0,-,-,-,-,-,0,-,-,0,0,-,-,-,0,-,?,0,-,-,-,0,?,-,0,-,0,-,-,-,-,-,-,0,-,0,-,-,-,?,-,?,?,?,?,?,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,-,-,?,?,0,0,0,?,0,0,0,0,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,-,?,0,-,-,-,-,-,-,0,-,0,0,-,-,0,0,0,0,0,0,0,0,0,-,-,-,0,0,0,0,0,0,-,-,-,0,-,0,-,0,0,0,0,0,0,0,0,0,0,-,-,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,?,-,-,-,-,?,?,?,?,?,-,-,-,?,-,-,-,0,-,?,-,-,-,0
Osteostraci,0,0,0,0,1,0,1,-,1,0,0,0,0,1,?,1,?,0,0,0,1,1,0,3,1,0,-,-,-,-,0,-,-,-,-,-,0,0,-,0,0,-,-,-,0,-,?,0,-,-,-,0,0,-,0,-,0,-,-,-,-,-,-,0,-,0,-,-,-,?,-,?,?,?,?,?,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,0,0,0,0,0,0,-,-,0,?,0,0,0,?,0,0,0,0,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0,-,0,0,-,-,-,-,-,-,0,-,0,0,-,-,0,0,0,0,0,0,0,0,0,-,-,-,0,0,0,0,0,0,-,-,-,0,-,0,-,0,0,0,0,0,0,0,0,0,0,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,1,0,0,0,-,0,0,-,0,-,-,-,-,0,0,0,-,-,-,-,0,-,?,0,?,-,-,-,0,0/1,0,0,0,-,0,-,-,-,0
Acanthodes,0,0,0,0,1,1,0,-,1,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,1,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,-,-,-,-,?,?,-,0,-,1,0,1,2,-,-,1,0,-,1,0,?,0,0,0,0,?,1,1,0,0,0,-,-,-,-,-,-,0,-,-,-,0,0,-,-,-,-,-,-,0,-,-,-,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,?,?,?,1,?,?,0,1,?,?,?,?,1,1,?,1,?,0,1,0,1,0,1,1,0,-,0,1,0,0,0,1,0,1,1,1,0,0,-,1,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,?,1,-,1,1,0,0,0,?,0,0,0,0,0,0,0,0,1,1,0,-,0,1,0,1,?,0,1,0,1,1,1,0,0,-,0,0,0,-,0,1,-,-,-,-,0,-,1,0,1,0,0,0,1,1,1,2,0,0,0,0,1,0,0,-,0,0,0,0,0,-,-,-,1,0,1,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0
Acronemus,1,1,0,1,1,1,0,0,-,-,-,-,-,-,-,-,-,0,0,-,0,?,?,-,1,?,-,-,-,-,?,-,-,-,-,-,-,-,0,0,-,-,-,-,?,-,?,-,-,-,-,?,-,-,0,-,0,-,-,-,-,-,1,0,-,?,?,?,?,?,?,?,?,?,?,?,1,?,1,1,0,0,1,0,0,-,-,-,?,-,-,-,-,-,-,-,0,-,-,-,0,1,1,?,0,0,0/2,0,0,?,0,?,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1,?,?,?,?,0,1,?,?,1,?,?,?,?,?,1,?,?,?,1,?,2,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1,?,?,?,?,?,0,0,0,0,1,1,0,0,1,0,1,1,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,1,0,0,0,?,0,-,0,?,1,?,0,0,0,0
Akmonistion,1,0,0,1,1,1,0,0,0,?,0,0,1,?,1,1,1,1,0,-,0,0,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,?,-,-,-,-,?,?,-,0,-,0,-,-,-,-,-,1,0,-,1,0,0,0,1,?,0,?,1,0,?,1,1,1,1,1,1,1,0,0,-,-,-,0,0,-,-,-,-,-,-,0,-,-,-,1,1,1,?,0,0,1,0,0,?,0,1,1,0,1,0,1,?,1,0,?,0,1,1,?,?,1,1,1,?,1,?,0,1,?,1,?,?,1,0,-,1,1,1,0,1,1,0,1,0,2,0,0,-,1,?,0,1,0,0,0,0,0,2,0,0,0,1,?,?,?,?,-,?,1,?,?,0,?,0,?,?,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,?,0,0,0,1,?,0,0,0,0,1,0,0,1,-,-,-,-,0,-,1,-,0,0,1,0,1,1,1,2,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,-,1,1,1,1,0,1,0,0,-,0,0,1,0,0,0,0,0
Austroptyctodus,0,0,0,0,1,?,?,?,1,?,0,-,0,1,?,?,?,?,?,?,?,?,?,-,0,-,0,0,?,0,0,0,0,-,2,1,1,1,0,-,0,-,-,-,1,-,?,?,-,?,0,0,0,?,1,1,0,-,-,-,-,-,0,0,-,0,0,1,0,?,?,?,?,?,?,?,1,0,0,-,-,-,-,-,1,0,0,1,1,1,0,0,0,-,-,-,0,-,-,?,0,0,?,0,?,-,-,0,0,0,0,0,0,0,1,?,?,?,1,?,?,?,0,?,?,?,?,0,1,?,?,0,?,0,?,?,?,?,?,?,?,?,?,?,0,?,?,?,0,?,?,?,?,?,0,0,?,?,?,?,?,0,0,?,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,0,?,?,?,1,0,0,0,?,1,0,0,-,1,0,0,0,1,0,1,0,0,-,-,-,-,-,1,0,?,?,?,?,?,?,1,0,0,1,0,0,0,?,0,0,?,1,?,?,?,?,1,0,0,0,0,1,-,0,0,0,?,0,0,0,0
Bothriolepis,0,1,0,0,0,-,0,0,?,-,-,-,-,-,?,?,1,-,0,-,1,1,0,3,0,-,0,1,?,0,0,1,1,-,0,1,0,0,1,-,?,0,0,-,0,-,?,0,-,?,0,0,0,0,1,0,0,-,-,-,-,-,0,0,-,0,?,?,?,?,?,?,?,?,?,?,1,?,0,-,-,-,-,-,0,-,-,0,1,1,0,0,0,-,-,-,?,?,?,?,0,0,0,0,?,-,?,0,0,0,?,0,0,0,0,-,?,0,0,?,?,0,0,?,?,?,?,0,0,?,?,0,?,?,?,?,?,?,?,?,?,0,0,-,?,-,?,?,?,?,?,?,?,?,0,0,?,?,?,?,?,0,0,?,0,0,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,0,0,-,0,0,0,0,0,1,1,1,0,-,-,-,-,-,-,0,0,0,-,0,0,-,0,-,-,-,-,1,1,0,-,-,-,-,0,-,?,0,0,-,?,-,0,0,-,0,0,-,0,-,-,-,0
Brachyacanthus,0,0,0,0,?,?,0,?,1,0,0,0,?,?,?,?,0,0,?,0,1,1,1,?,1,0,-,-,-,-,-,-,-,-,-,-,-,-,0,1,-,-,-,-,-,-,?,?,-,-,-,?,?,-,0,-,1,0,0,0,0,0,0,0,-,?,?,?,?,?,?,?,?,?,?,?,0,?,-,-,-,-,-,-,0,-,-,-,0,0,-,-,-,-,-,-,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,1,-,1,-,0,-,1,0,1,0,0,0,?,0,?,?,?,0,?,?,1,0,-,?,0,0,0,1,0,0,0,0,1,0,?,0,1,0,0,0,1,1,?,1,?,0,1,1,1,0,0
Brindabellaspis,0,0,0,0,1,0,0,?,1,0,0,0,1,0,?,0,?,?,?,?,?,?,?,3,0,-,0,1,?,0,0,0,1,1,0,?,1,0,?,-,0,?,0,?,?,-,?,0,-,?,0,0,0,0,1,0,0,-,?,?,?,?,0,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,-,-,?,?,0,-,-,?,?,?,?,?,?,-,-,?,?,?,?,?,?,?,?,?,?,?,-,0,?,?,?,?,?,?,0,0,0,0,0,0,0,0,?,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-,?,0,-,0,-,0,?,0,1,0,?,0,0,0,0,?,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,?,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,0,0,?,?,0,?,0,0,-,-,-,-,-,1,0,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1,?,0,?,-,?,?,?,?,0
Brochoadmones,0,1,0,0,1,0,0,0,1,0,0,0,1,1,1,?,0,0,0,0,0,1,1,0,1,1,-,-,-,-,-,-,-,-,-,-,-,?,0,0,-,-,-,-,0,-,0,?,-,-,-,?,?,-,0,-,0,-,-,-,-,-,1,0,-,1,?,?,?,?,?,?,?,?,?,?,1,1,1,0,-,-,1,0,0,-,-,-,0,0,-,-,-,-,-,-,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,0,1,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1,-,-,-,-,0,-,?,?,?,?,?,-,?,?,?,?,?,0,?,?,1,0,0,-,0,0,0,1,0,0,0,0,1,0,?,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0,0
